;n;label;hit;total;percent
341;12;6;19.0;27.0;0.7037037037037037
342;12;7;14.0;22.0;0.6363636363636364
343;12;8;27.0;32.0;0.84375
344;12;9;19.0;22.0;0.8636363636363636
345;12;B;34.0;40.0;0.85
346;12;C;25.0;32.0;0.78125
347;12;D;22.0;28.0;0.7857142857142857
348;12;F;14.0;22.0;0.6363636363636364
349;12;G;20.0;25.0;0.8
350;12;H;20.0;33.0;0.6060606060606061
351;12;J;16.0;23.0;0.6956521739130435
352;12;K;28.0;34.0;0.8235294117647058
353;12;L;35.0;39.0;0.8974358974358975
354;12;M;27.0;32.0;0.84375
355;12;N;32.0;38.0;0.8421052631578947
356;12;P;25.0;28.0;0.8928571428571429
357;12;R;14.0;17.0;0.8235294117647058
358;12;S;23.0;28.0;0.8214285714285714
359;12;T;26.0;35.0;0.7428571428571429
360;12;V;23.0;26.0;0.8846153846153846
361;12;W;25.0;27.0;0.9259259259259259
362;12;X;24.0;28.0;0.8571428571428571
363;12;Z;21.0;25.0;0.84
364;13;1;16.0;26.0;0.6153846153846154
365;13;2;18.0;27.0;0.6666666666666666
366;13;3;25.0;33.0;0.7575757575757576
367;13;4;13.0;23.0;0.5652173913043478
368;13;5;29.0;32.0;0.90625
369;13;6;16.0;19.0;0.8421052631578947
370;13;7;19.0;30.0;0.6333333333333333
371;13;8;20.0;30.0;0.6666666666666666
372;13;9;20.0;29.0;0.6896551724137931
373;13;B;27.0;33.0;0.8181818181818182
374;13;C;31.0;37.0;0.8378378378378378
375;13;D;16.0;19.0;0.8421052631578947
376;13;F;17.0;32.0;0.53125
377;13;G;24.0;27.0;0.8888888888888888
378;13;H;13.0;22.0;0.5909090909090909
379;13;J;10.0;13.0;0.7692307692307693
380;13;K;26.0;35.0;0.7428571428571429
381;13;L;24.0;27.0;0.8888888888888888
382;13;M;15.0;21.0;0.7142857142857143
383;13;N;30.0;34.0;0.8823529411764706
384;13;P;31.0;34.0;0.9117647058823529
385;13;R;26.0;31.0;0.8387096774193549
386;13;S;21.0;27.0;0.7777777777777778
387;13;T;23.0;29.0;0.7931034482758621
388;13;V;32.0;37.0;0.8648648648648649
389;13;W;29.0;35.0;0.8285714285714286
390;13;X;24.0;30.0;0.8
391;13;Z;22.0;28.0;0.7857142857142857
392;14;1;15.0;21.0;0.7142857142857143
393;14;2;17.0;21.0;0.8095238095238095
394;14;3;27.0;36.0;0.75
395;14;4;26.0;34.0;0.7647058823529411
396;14;5;22.0;25.0;0.88
397;14;6;20.0;25.0;0.8
398;14;7;13.0;27.0;0.48148148148148145
399;14;8;29.0;32.0;0.90625
400;14;9;19.0;27.0;0.7037037037037037
401;14;B;22.0;27.0;0.8148148148148148
402;14;C;20.0;27.0;0.7407407407407407
403;14;D;25.0;31.0;0.8064516129032258
404;14;F;16.0;24.0;0.6666666666666666
405;14;G;28.0;30.0;0.9333333333333333
406;14;H;18.0;28.0;0.6428571428571429
407;14;J;22.0;30.0;0.7333333333333333
408;14;K;20.0;25.0;0.8
409;14;L;29.0;37.0;0.7837837837837838
