;n;label;hit;total;percent
280;10;1;14.0;21.0;0.6666666666666666
281;10;2;27.0;27.0;1.0
282;10;3;32.0;34.0;0.9411764705882353
283;10;4;29.0;31.0;0.9354838709677419
284;10;5;23.0;25.0;0.92
285;10;6;23.0;27.0;0.8518518518518519
286;10;7;31.0;32.0;0.96875
287;10;8;20.0;24.0;0.8333333333333334
288;10;9;22.0;24.0;0.9166666666666666
289;10;B;31.0;34.0;0.9117647058823529
290;10;C;24.0;24.0;1.0
291;10;D;22.0;28.0;0.7857142857142857
292;10;F;29.0;30.0;0.9666666666666667
293;10;G;21.0;22.0;0.9545454545454546
294;10;H;21.0;24.0;0.875
295;10;J;21.0;23.0;0.9130434782608695
296;10;K;28.0;29.0;0.9655172413793104
297;10;L;33.0;35.0;0.9428571428571428
298;10;M;29.0;31.0;0.9354838709677419
299;10;N;31.0;33.0;0.9393939393939394
300;10;P;32.0;36.0;0.8888888888888888
301;10;R;27.0;29.0;0.9310344827586207
302;10;S;35.0;37.0;0.9459459459459459
303;10;T;27.0;28.0;0.9642857142857143
304;10;V;29.0;32.0;0.90625
305;10;W;31.0;31.0;1.0
306;10;X;25.0;25.0;1.0
307;10;Z;24.0;24.0;1.0
308;11;1;17.0;25.0;0.68
309;11;2;27.0;31.0;0.8709677419354839
310;11;3;28.0;30.0;0.9333333333333333
311;11;4;19.0;21.0;0.9047619047619048
312;11;5;33.0;34.0;0.9705882352941176
313;11;6;24.0;25.0;0.96
314;11;7;30.0;31.0;0.967741935483871
315;11;8;26.0;29.0;0.896551724137931
316;11;9;20.0;25.0;0.8
317;11;B;30.0;32.0;0.9375
318;11;C;30.0;31.0;0.967741935483871
319;11;D;21.0;22.0;0.9545454545454546
320;11;F;24.0;24.0;1.0
321;11;G;26.0;26.0;1.0
322;11;H;27.0;30.0;0.9
323;11;J;14.0;16.0;0.875
324;11;K;29.0;32.0;0.90625
325;11;L;32.0;33.0;0.9696969696969697
326;11;M;26.0;27.0;0.9629629629629629
327;11;N;34.0;34.0;1.0
328;11;P;25.0;27.0;0.9259259259259259
329;11;R;26.0;28.0;0.9285714285714286
330;11;S;37.0;37.0;1.0
331;11;T;22.0;26.0;0.8461538461538461
332;11;V;29.0;31.0;0.9354838709677419
333;11;W;30.0;31.0;0.967741935483871
334;11;X;30.0;32.0;0.9375
335;11;Z;29.0;30.0;0.9666666666666667
336;12;1;17.0;25.0;0.68
337;12;2;25.0;26.0;0.9615384615384616
338;12;3;32.0;34.0;0.9411764705882353
339;12;4;25.0;26.0;0.9615384615384616
340;12;5;30.0;32.0;0.9375
341;12;6;18.0;20.0;0.9
342;12;7;23.0;24.0;0.9583333333333334
343;12;8;21.0;24.0;0.875
344;12;9;30.0;33.0;0.9090909090909091
345;12;B;37.0;41.0;0.9024390243902439
346;12;C;25.0;26.0;0.9615384615384616
347;12;D;20.0;24.0;0.8333333333333334
348;12;F;28.0;28.0;1.0
349;12;G;26.0;27.0;0.9629629629629629
350;12;H;27.0;29.0;0.9310344827586207
351;12;J;31.0;33.0;0.9393939393939394
352;12;K;31.0;32.0;0.96875
353;12;L;17.0;20.0;0.85
354;12;M;28.0;29.0;0.9655172413793104
355;12;N;25.0;28.0;0.8928571428571429
356;12;P;25.0;26.0;0.9615384615384616
357;12;R;19.0;23.0;0.8260869565217391
358;12;S;39.0;39.0;1.0
359;12;T;24.0;26.0;0.9230769230769231
360;12;V;26.0;29.0;0.896551724137931
361;12;W;37.0;37.0;1.0
362;12;X;31.0;33.0;0.9393939393939394
363;12;Z;26.0;26.0;1.0
364;13;1;20.0;30.0;0.6666666666666666
365;13;2;27.0;30.0;0.9
366;13;3;36.0;38.0;0.9473684210526315
367;13;4;27.0;29.0;0.9310344827586207
368;13;5;23.0;24.0;0.9583333333333334
369;13;6;24.0;27.0;0.8888888888888888
370;13;7;28.0;32.0;0.875
371;13;8;25.0;25.0;1.0
372;13;9;21.0;26.0;0.8076923076923077
373;13;B;32.0;34.0;0.9411764705882353
374;13;C;28.0;28.0;1.0
375;13;D;22.0;25.0;0.88
376;13;F;20.0;21.0;0.9523809523809523
377;13;G;32.0;34.0;0.9411764705882353
378;13;H;23.0;24.0;0.9583333333333334
379;13;J;18.0;21.0;0.8571428571428571
380;13;K;32.0;35.0;0.9142857142857143
381;13;L;25.0;28.0;0.8928571428571429
382;13;M;25.0;26.0;0.9615384615384616
383;13;N;31.0;33.0;0.9393939393939394
384;13;P;35.0;37.0;0.9459459459459459
385;13;R;23.0;23.0;1.0
386;13;S;24.0;27.0;0.8888888888888888
387;13;T;15.0;20.0;0.75
388;13;V;36.0;40.0;0.9
389;13;W;26.0;28.0;0.9285714285714286
390;13;X;28.0;31.0;0.9032258064516129
391;13;Z;23.0;24.0;0.9583333333333334
392;14;1;18.0;28.0;0.6428571428571429
393;14;2;23.0;24.0;0.9583333333333334
394;14;3;26.0;28.0;0.9285714285714286
395;14;4;20.0;23.0;0.8695652173913043
396;14;5;25.0;27.0;0.9259259259259259
397;14;6;25.0;29.0;0.8620689655172413
398;14;7;35.0;39.0;0.8974358974358975
399;14;8;17.0;27.0;0.6296296296296297
400;14;9;24.0;26.0;0.9230769230769231
401;14;B;34.0;35.0;0.9714285714285714
402;14;C;30.0;31.0;0.967741935483871
403;14;D;17.0;18.0;0.9444444444444444
404;14;F;26.0;28.0;0.9285714285714286
405;14;G;25.0;25.0;1.0
406;14;H;27.0;30.0;0.9
407;14;J;22.0;26.0;0.8461538461538461
408;14;K;23.0;26.0;0.8846153846153846
409;14;L;20.0;21.0;0.9523809523809523
410;14;M;27.0;31.0;0.8709677419354839
411;14;N;34.0;37.0;0.918918918918919
412;14;P;30.0;32.0;0.9375
413;14;R;28.0;28.0;1.0
414;14;S;30.0;31.0;0.967741935483871
415;14;T;29.0;32.0;0.90625
416;14;V;32.0;34.0;0.9411764705882353
417;14;W;28.0;30.0;0.9333333333333333
418;14;X;20.0;25.0;0.8
419;14;Z;29.0;29.0;1.0
420;15;1;21.0;30.0;0.7
421;15;2;18.0;19.0;0.9473684210526315
422;15;3;30.0;31.0;0.967741935483871
423;15;4;20.0;22.0;0.9090909090909091
424;15;5;28.0;29.0;0.9655172413793104
425;15;6;18.0;22.0;0.8181818181818182
426;15;7;26.0;31.0;0.8387096774193549
427;15;8;24.0;28.0;0.8571428571428571
428;15;9;25.0;27.0;0.9259259259259259
429;15;B;25.0;27.0;0.9259259259259259
430;15;C;27.0;28.0;0.9642857142857143
431;15;D;27.0;29.0;0.9310344827586207
432;15;F;26.0;27.0;0.9629629629629629
433;15;G;28.0;28.0;1.0
434;15;H;26.0;28.0;0.9285714285714286
435;15;J;19.0;21.0;0.9047619047619048
436;15;K;26.0;28.0;0.9285714285714286
437;15;L;25.0;27.0;0.9259259259259259
438;15;M;31.0;34.0;0.9117647058823529
439;15;N;30.0;31.0;0.967741935483871
440;15;P;34.0;36.0;0.9444444444444444
441;15;R;31.0;33.0;0.9393939393939394
442;15;S;29.0;30.0;0.9666666666666667
443;15;T;30.0;36.0;0.8333333333333334
444;15;V;29.0;30.0;0.9666666666666667
445;15;W;32.0;35.0;0.9142857142857143
446;15;X;22.0;25.0;0.88
447;15;Z;28.0;28.0;1.0
448;16;1;24.0;36.0;0.6666666666666666
449;16;2;28.0;30.0;0.9333333333333333
450;16;3;29.0;32.0;0.90625
451;16;4;24.0;27.0;0.8888888888888888
452;16;5;26.0;27.0;0.9629629629629629
453;16;6;20.0;21.0;0.9523809523809523
454;16;7;24.0;29.0;0.8275862068965517
455;16;8;30.0;32.0;0.9375
456;16;9;28.0;31.0;0.9032258064516129
457;16;B;30.0;32.0;0.9375
458;16;C;30.0;31.0;0.967741935483871
459;16;D;20.0;21.0;0.9523809523809523
460;16;F;28.0;30.0;0.9333333333333333
461;16;G;27.0;27.0;1.0
462;16;H;24.0;28.0;0.8571428571428571
463;16;J;18.0;19.0;0.9473684210526315
464;16;K;30.0;31.0;0.967741935483871
465;16;L;29.0;30.0;0.9666666666666667
466;16;M;22.0;24.0;0.9166666666666666
467;16;N;32.0;33.0;0.9696969696969697
468;16;P;26.0;28.0;0.9285714285714286
469;16;R;24.0;27.0;0.8888888888888888
470;16;S;26.0;28.0;0.9285714285714286
471;16;T;33.0;36.0;0.9166666666666666
472;16;V;26.0;27.0;0.9629629629629629
473;16;W;19.0;22.0;0.8636363636363636
474;16;X;24.0;28.0;0.8571428571428571
475;16;Z;33.0;33.0;1.0
476;17;1;20.0;28.0;0.7142857142857143
477;17;2;22.0;23.0;0.9565217391304348
478;17;3;28.0;30.0;0.9333333333333333
479;17;4;27.0;29.0;0.9310344827586207
480;17;5;26.0;27.0;0.9629629629629629
481;17;6;19.0;20.0;0.95
482;17;7;19.0;23.0;0.8260869565217391
483;17;8;25.0;26.0;0.9615384615384616
484;17;9;26.0;30.0;0.8666666666666667
485;17;B;31.0;34.0;0.9117647058823529
486;17;C;35.0;37.0;0.9459459459459459
487;17;D;18.0;18.0;1.0
488;17;F;28.0;32.0;0.875
